products:ID,value,:LABEL
2050342,金宝理财2020055期,理财产品
2050341,金宝理财2020054期,理财产品
2032663,公司红棉理财-XX天资产组合投资型人民币理财产品,理财产品
2075330,"\""金杉聚富\""530期人民币理财产品",理财产品
2050337,金宝理财2020050期,理财产品
2075322,"\""金杉聚富\""529期人民币理财产品",理财产品
2050336,金宝理财2020049期,理财产品
2083055,定海海洋农商银行“海洋187号”人民币理财产品,理财产品
2050335,金宝理财2020048期,理财产品
2083553,普陀农商银行丰收信福2020年第44期封闭式净值型理财产品,理财产品
2080971,义乌农商银行“丰收·喜盈”2020年第64期人民币理财产品,理财产品
2080970,义乌农商银行“丰收·喜盈”2020年第63期人民币理财产品,理财产品
2078128,宁波市市区农村信用合作联社丰收信福净值型理财产品第2020013A期,理财产品
2077645,桐庐农商银行丰收信福1年封闭净值型2020年第3期理财产品,理财产品
2080981,义乌农商银行“丰收·富盈”2020年第60期人民币理财产品,理财产品
2079816,尧享如意系列理财产品2020年第3期,理财产品
2078729,浙江长兴农村商业银行股份有限公司“丰收信福”2020年第21期封闭净值型人民币理财产品,理财产品
2079789,南浔银行丰收信福理财2020年第22期（总第40期）,理财产品
2082338,浙江安吉农村商业银行股份有限公司“丰收·信福”2020年第19期封闭净值型人民币理财产品,理财产品
2080980,义乌农商银行“丰收·富盈”2020年第59期人民币理财产品,理财产品
2080968,义乌农商银行“丰收·喜盈”2020年第61期人民币理财产品,理财产品
2077725,南充农商银行财汇盈·升金第57期非保本浮动收益型理财产品,理财产品
2079696,紫气东来人民币理财计划872期,理财产品
2079691,紫气东来人民币理财计划尊享452期,理财产品
2078554,2020年“金成鑫”智惠盈24号人民币理财产品,理财产品
2078127,宁波市市区农村信用合作联社丰收信福净值型理财产品第2020012A期,理财产品
2077642,浙江桐庐农村商业银行股份有限公司丰收信福2020年第26期封闭净值型人民币理财产品,理财产品
2080966,义乌农商银行“丰收·喜盈”2020年第59期人民币理财产品,理财产品
2078169,喜利宝2020年第38期,理财产品
2078168,喜利宝2020年第37期,理财产品
2077573,淳安农商丰收信福2020年第10期封闭净值型理财产品,理财产品
2050333,金宝理财2020046期,理财产品
2082196,浙江安吉农村商业银行股份有限公司“丰收·信福”2020年第18期封闭净值型人民币理财产品,理财产品
2080978,义乌农商银行“丰收·富盈”2020年第57期人民币理财产品,理财产品
2080965,义乌农商银行“丰收·喜盈”2020年第58期人民币理财产品,理财产品
2079740,柯城农商银行“丰收·信福”2020年第7期封闭式净值型理财产品,理财产品
2080977,义乌农商银行“丰收·富盈”2020年第56期人民币理财产品,理财产品
2079788,南浔银行丰收信福理财2020年第21期（总第39期）,理财产品
2079601,“药都聚财”系列2020年第88期非保本型人民币公募理财产品,理财产品
2079584,“药都聚财”系列2020年第87期非保本型人民币公募理财产品,理财产品
2078014,瑞安农商银行丰收信福2020年第037期封闭式净值型理财产品,理财产品
2077644,桐庐农商银行丰收信福1年封闭净值型2020年第2期理财产品,理财产品
2083547,普陀农商银行丰收信福2020年第38期封闭式净值型理财产品,理财产品
2081162,浙江开化农村商业银行股份有限公司丰收信福2020年第6期净值型人民币理财产品,理财产品
2080964,义乌农商银行“丰收·喜盈”2020年第57期人民币理财产品,理财产品
2078167,喜利宝2020年第36期,理财产品
2082653,定海海洋农商银行“海洋185号”人民币理财产品,理财产品
2081589,2020年盂盈斗金28号人民币理财产品,理财产品
2079403,丰收丰叶A2020年第75期,理财产品
2078727,浙江长兴农村商业银行股份有限公司“丰收信福”2020年第19期封闭净值型人民币理财产品,理财产品
2075541,中银平稳理财计划-智荟系列208743期,理财产品
2070468,"\""金杉聚富\""525期人民币理财产品",理财产品
2050332,金宝理财2020045期,理财产品
2079582,“药都聚财”系列2020年第86期非保本型人民币公募理财产品,理财产品
2079576,“药都聚财”系列2020年第85期非保本型人民币公募理财产品,理财产品
2079549,邮银财富·智享2020年第57期,理财产品
2079544,邮银财富·智享2020年第54期,理财产品
2078953,"\""幸福99\""丰裕盈家KF01号银行理财计划第5116期预约94天型",理财产品
2078932,浙江安吉农村商业银行股份有限公司“丰收·信福”2020年第17期封闭净值型人民币理财产品,理财产品
2076968,宁波通商银行“通银丰利”系列薪利盈理财2号第1022期个人理财计划,理财产品
2073124,廊坊银行坊银系列理财稳健型1号2067期（个人客户）,理财产品
2071249,明珠理财月月赢系列2020年第281期,理财产品
2057991,邮银财富·债券2020年第60期,理财产品
2080411,尧享稳赢系列理财产品2020年第1期,理财产品
2080406,普陀农商银行丰收信福2020年第37期封闭式净值型理财产品,理财产品
2079955,浙江临安农村商业银行股份有限公司丰收信福2020年第32期封闭式净值型人民币理财产品,理财产品
2078961,“幸福99”丰裕3号固定收益类20098期银行理财计划,理财产品
2078744,金昭阳理财2020年24期,理财产品
2078125,宁波市市区农村信用合作联社丰收信福净值型理财产品第2020010A期,理财产品
2078013,瑞安农商银行丰收信福2020年第036期封闭式净值型理财产品,理财产品
2077783,“药都聚财”系列2020年第83期非保本型人民币公募理财产品,理财产品
2077640,浙江桐庐农村商业银行股份有限公司丰收信福2020年第24期封闭净值型人民币理财产品,理财产品
2077056,“如意宝”YB200112期人民币理财产品,理财产品
2074916,运通财富通家乐347号,理财产品
2073123,廊坊银行坊银系列理财稳健型1号2066期（个人客户）,理财产品
2071877,稳健成长（2020）103期,理财产品
2071276,“红棉理财·广银增富”资产组合投资型人民币理财产品,理财产品
2056343,金成鑫.满多多2期理财产品,理财产品
2080974,义乌农商银行“丰收·富盈”2020年第53期人民币理财产品,理财产品
2080958,义乌农商银行“丰收·信福”2020年第17期净值型人民币理财产品,理财产品
2079400,丰收丰叶A2020年第72期,理财产品
2078954,"\""幸福99\""丰裕盈家KF01号银行理财计划第5117期预约96天型",理财产品
2077549,中银理财“稳富”固收增强（封闭式）2020年58期,理财产品
2077469,承德银行“热河财富”非保本型人民币理财产品2020年第20期,理财产品
2077112,“财坤”CK200187期人民币理财产品,理财产品
2077097,“财坤”CK200172期人民币理财产品,理财产品
2077065,“财丰理财”CF200193期人民币理财产品,理财产品
2076967,宁波通商银行“通银丰利”系列薪利盈理财2号第1021期个人理财计划,理财产品
2074859,顺德农商银行顺盈2号开放式净值型理财产品,理财产品
2073122,廊坊银行坊银系列理财稳健型1号2065期（个人客户）,理财产品
2073120,廊坊银行坊银系列理财稳健型1号2063期（个人客户）,理财产品
2073087,廊坊银行“京津明珠”理财智富系列01号825期（个人客户）,理财产品
2071248,明珠理财月月赢系列2020年第280期,理财产品
2068629,蕴通财富粤新享,理财产品
2066709,珠海农商银行金盈丰盈系列第955期,理财产品
2081622,丹东银行“银杏理财”第20206009期理财产品,理财产品
2081429,久赢理财-聚富20022号,理财产品
2081427,久赢理财-安富20088号,理财产品
2080972,义乌农商银行“丰收·富盈”2020年第51期人民币理财产品,理财产品
2080961,义乌农商银行“丰收·喜盈”2020年第54期人民币理财产品,理财产品
2079666,丰收信福2020年第29期封闭净值型理财产品,理财产品
2079402,丰收丰叶A2020年第74期,理财产品
2079343,兰溪农商银行“丰收信福”2020年第10期封闭净值型人民币理财产品,理财产品
2079050,中银基智通理财计划-流动性增强系列2020年A20533期,理财产品
2079048,中银基智通理财计划-流动性增强系列2020年A20535期,理财产品
2078959,“幸福99”丰裕3号固定收益类20096期银行理财计划,理财产品
2078950,"\""幸福99\""丰裕盈家KF01号银行理财计划第5113期预约35天型",理财产品
2078789,南昌农商银行百福理财禧临门系列CG10620200630097,理财产品
2078726,浙江长兴农村商业银行股份有限公司“丰收信福”2020年第18期封闭净值型人民币理财产品,理财产品
2078111,昆明官渡农村合作银行农信赢安心系列净值型理财产品第49期,理财产品
2078110,昆明官渡农村合作银行农信赢安心系列净值型理财产品第48期,理财产品
2078109,昆明官渡农村合作银行农信赢安心系列净值型理财产品第47期,理财产品
2078012,瑞安农商银行丰收信福2020年第035期封闭式净值型理财产品,理财产品
2077765,"临海农商银行\""丰收信福\""2020年第35期净值型人民币理财产品",理财产品
2077596,余姚农村商业银行丰收信福2020044期封闭净值型理财产品,理财产品
2074029,交银理财稳享固收精选两年定开2号理财产品,理财产品
2073862,定海海洋农商银行“海洋184号”人民币理财产品,理财产品
2071882,稳健成长（2020）108期,理财产品
2071727,佛山农商银行2020年金狮理财福禄系列第120期理财计划,理财产品
2071245,明珠理财月月赢系列2020年第277期,理财产品
2068634,蕴通财富粤惠1号,理财产品
2066459,金葵树同赢191219期理财产品,理财产品
2052230,紫金财富安鑫盈200043期人民币理财产品,理财产品
2048010,中国建设银行上海市分行“乾元―智盈”2020年第106期（高净客户）人民币理财产品,理财产品
2046886,交银理财稳享固收增强2年封闭式10号（私银专享）理财产品,理财产品
1921391,润盈财富3号216期,理财产品
2083838,渤海银行FG20021号封闭式固定收益类净值型理财产品,理财产品
2083837,渤海银行FG20020号封闭式固定收益类净值型理财产品,理财产品
2081803,阳光紫尊享1期,理财产品
