property:ID,value,:LABEL
n0p0,C3132420000049,登记编码
n0p3,1-3个月(含),期限类型
n0p4,0,业绩比较基准
n0p5,徐州铜山农村商业银行股份有限公司,发行机构
n0p6,C31324,发行机构代码
n0p7,公募,募集方式
n0p8,封闭式非净值型,运作模式
n0p9,固定收益类,投资性质
n0p10,人民币(CNY),募集币种
n0p11,1,风险等级编号
n0p12,一级(低),风险等级
n0p13,2020/09/15,募集起始日期
n0p15,2020/09/22,产品起始日期
n0p16,2020/12/21,产品终止日期
n0p17,预售,产品状态
n0p18,90,实际天数（天）
n0p19,保本浮动收益,收益类型
n0p20,江苏,产品销售区域
n0p21,农村合作金融机构,机构类别
n0p22,50000.0,认购价格
n1p0,C3132420000048,登记编码
n1p13,2020/09/08,募集起始日期
n1p16,2020/12/14,产品终止日期
n2p0,C1082720A000010,登记编码
n2p5,广州银行股份有限公司,发行机构
n2p6,C10827,发行机构代码
n2p7,私募,募集方式
n2p11,2,风险等级编号
n2p12,二级(中低),风险等级
n2p13,2020/08/18,募集起始日期
n2p16,2020/11/17,产品终止日期
n2p18,91,实际天数（天）
n2p19,非保本浮动收益,收益类型
n2p20,"江苏,广东,深圳",产品销售区域
n2p21,城商行,机构类别
n2p22,1000000.0,认购价格
n3p0,C1138220000031,登记编码
n3p5,江苏邳州农村商业银行股份有限公司,发行机构
n3p6,C11382,发行机构代码
n3p13,2020/08/11,募集起始日期
n4p0,C3132420000044,登记编码
n5p0,C1138220000030,登记编码
n5p13,2020/08/04,募集起始日期
n5p16,2020/11/10,产品终止日期
n6p0,C3132420000043,登记编码
n7p0,C1126420000033,登记编码
n7p5,浙江舟山定海海洋农村商业银行股份有限公司,发行机构
n7p6,C11264,发行机构代码
n7p13,2020/07/30,募集起始日期
n7p15,2020/08/06,产品起始日期
n7p16,2020/10/27,产品终止日期
n7p18,82,实际天数（天）
n7p20,浙江,产品销售区域
n7p22,10000.0,认购价格
n8p0,C3132420000042,登记编码
n8p13,2020/07/28,募集起始日期
n8p16,2020/11/03,产品终止日期
n9p0,C1126520000043,登记编码
n9p3,3-6个月(含),期限类型
n9p5,浙江舟山普陀农村商业银行股份有限公司,发行机构
n9p6,C11265,发行机构代码
n9p8,封闭式净值型,运作模式
n9p13,2020/07/25,募集起始日期
n9p16,2020/10/29,产品终止日期
n10p0,C1125620000145,登记编码
n10p5,浙江义乌农村商业银行股份有限公司,发行机构
n10p6,C11256,发行机构代码
n10p13,2020/07/24,募集起始日期
n10p16,2020/12/03,产品终止日期
n10p18,126,实际天数（天）
n11p0,C1125620000161,登记编码
n11p13,2020/07/23,募集起始日期
n11p15,2020/07/27,产品起始日期
n11p18,92,实际天数（天）
n12p0,C3208120000037,登记编码
n12p5,宁波市市区农村信用合作联社,发行机构
n12p6,C32081,发行机构代码
n12p20,宁波,产品销售区域
n13p0,C1123120000030,登记编码
n13p3,6-12个月(含),期限类型
n13p5,浙江桐庐农村商业银行股份有限公司,发行机构
n13p6,C11231,发行机构代码
n13p16,2021/07/30,产品终止日期
n13p18,365,实际天数（天）
n14p0,C1125620000152,登记编码
n14p13,2020/07/22,募集起始日期
n15p0,C1239620000053,登记编码
n15p3,3年以上,期限类型
n15p5,山西尧都农村商业银行股份有限公司,发行机构
n15p6,C12396,发行机构代码
n15p8,开放式净值型,运作模式
n15p13,2020/07/21,募集起始日期
n15p16,2099/07/28,产品终止日期
n15p18,28854,实际天数（天）
