:START_ID,:END_ID,:TYPE
2050342,n0p0,登记编码
n0p0,2050342,产品
2050342,n0p3,期限类型
n0p3,2050342,产品
2050342,n0p4,业绩比较基准
n0p4,2050342,产品
2050342,n0p5,发行机构
n0p5,2050342,产品
2050342,n0p6,发行机构代码
n0p6,2050342,产品
2050342,n0p7,募集方式
n0p7,2050342,产品
2050342,n0p8,运作模式
n0p8,2050342,产品
2050342,n0p9,投资性质
n0p9,2050342,产品
2050342,n0p10,募集币种
n0p10,2050342,产品
2050342,n0p11,风险等级编号
n0p11,2050342,产品
2050342,n0p12,风险等级
n0p12,2050342,产品
2050342,n0p13,募集起始日期
n0p13,2050342,产品
2050342,n0p13,募集结束日期
n0p13,2050342,产品
2050342,n0p15,产品起始日期
n0p15,2050342,产品
2050342,n0p16,产品终止日期
n0p16,2050342,产品
2050342,n0p17,产品状态
n0p17,2050342,产品
2050342,n0p18,实际天数（天）
n0p18,2050342,产品
2050342,n0p19,收益类型
n0p19,2050342,产品
2050342,n0p20,产品销售区域
n0p20,2050342,产品
2050342,n0p21,机构类别
n0p21,2050342,产品
2050342,n0p22,认购价格
n0p22,2050342,产品
2050341,n1p0,登记编码
n1p0,2050341,产品
2050341,n0p3,期限类型
n0p3,2050341,产品
2050341,n0p4,业绩比较基准
n0p4,2050341,产品
2050341,n0p5,发行机构
n0p5,2050341,产品
2050341,n0p6,发行机构代码
n0p6,2050341,产品
2050341,n0p7,募集方式
n0p7,2050341,产品
2050341,n0p8,运作模式
n0p8,2050341,产品
2050341,n0p9,投资性质
n0p9,2050341,产品
2050341,n0p10,募集币种
n0p10,2050341,产品
2050341,n0p11,风险等级编号
n0p11,2050341,产品
2050341,n0p12,风险等级
n0p12,2050341,产品
2050341,n1p13,募集起始日期
n1p13,2050341,产品
2050341,n1p13,募集结束日期
n1p13,2050341,产品
2050341,n0p13,产品起始日期
n0p13,2050341,产品
2050341,n1p16,产品终止日期
n1p16,2050341,产品
2050341,n0p17,产品状态
n0p17,2050341,产品
2050341,n0p18,实际天数（天）
n0p18,2050341,产品
2050341,n0p19,收益类型
n0p19,2050341,产品
2050341,n0p20,产品销售区域
n0p20,2050341,产品
2050341,n0p21,机构类别
n0p21,2050341,产品
2050341,n0p22,认购价格
n0p22,2050341,产品
2032663,n2p0,登记编码
n2p0,2032663,产品
2032663,n0p3,期限类型
n0p3,2032663,产品
2032663,n0p4,业绩比较基准
n0p4,2032663,产品
2032663,n2p5,发行机构
n2p5,2032663,产品
2032663,n2p6,发行机构代码
n2p6,2032663,产品
2032663,n2p7,募集方式
n2p7,2032663,产品
2032663,n0p8,运作模式
n0p8,2032663,产品
2032663,n0p9,投资性质
n0p9,2032663,产品
2032663,n0p10,募集币种
n0p10,2032663,产品
2032663,n2p11,风险等级编号
n2p11,2032663,产品
2032663,n2p12,风险等级
n2p12,2032663,产品
2032663,n2p13,募集起始日期
n2p13,2032663,产品
2032663,n2p13,募集结束日期
n2p13,2032663,产品
2032663,n2p13,产品起始日期
n2p13,2032663,产品
2032663,n2p16,产品终止日期
n2p16,2032663,产品
2032663,n0p17,产品状态
n0p17,2032663,产品
2032663,n2p18,实际天数（天）
n2p18,2032663,产品
2032663,n2p19,收益类型
n2p19,2032663,产品
2032663,n2p20,产品销售区域
n2p20,2032663,产品
2032663,n2p21,机构类别
n2p21,2032663,产品
2032663,n2p22,认购价格
n2p22,2032663,产品
2075330,n3p0,登记编码
n3p0,2075330,产品
2075330,n0p3,期限类型
n0p3,2075330,产品
2075330,n0p4,业绩比较基准
n0p4,2075330,产品
2075330,n3p5,发行机构
n3p5,2075330,产品
2075330,n3p6,发行机构代码
n3p6,2075330,产品
2075330,n0p7,募集方式
n0p7,2075330,产品
2075330,n0p8,运作模式
n0p8,2075330,产品
2075330,n0p9,投资性质
n0p9,2075330,产品
2075330,n0p10,募集币种
n0p10,2075330,产品
2075330,n0p11,风险等级编号
n0p11,2075330,产品
2075330,n0p12,风险等级
n0p12,2075330,产品
2075330,n3p13,募集起始日期
n3p13,2075330,产品
2075330,n3p13,募集结束日期
n3p13,2075330,产品
2075330,n2p13,产品起始日期
n2p13,2075330,产品
2075330,n2p16,产品终止日期
n2p16,2075330,产品
2075330,n0p17,产品状态
n0p17,2075330,产品
2075330,n2p18,实际天数（天）
n2p18,2075330,产品
2075330,n0p19,收益类型
n0p19,2075330,产品
2075330,n0p20,产品销售区域
n0p20,2075330,产品
2075330,n0p21,机构类别
n0p21,2075330,产品
2075330,n0p22,认购价格
n0p22,2075330,产品
2050337,n4p0,登记编码
n4p0,2050337,产品
2050337,n0p3,期限类型
n0p3,2050337,产品
2050337,n0p4,业绩比较基准
n0p4,2050337,产品
2050337,n0p5,发行机构
n0p5,2050337,产品
2050337,n0p6,发行机构代码
n0p6,2050337,产品
2050337,n0p7,募集方式
n0p7,2050337,产品
2050337,n0p8,运作模式
n0p8,2050337,产品
2050337,n0p9,投资性质
n0p9,2050337,产品
2050337,n0p10,募集币种
n0p10,2050337,产品
2050337,n0p11,风险等级编号
n0p11,2050337,产品
2050337,n0p12,风险等级
n0p12,2050337,产品
2050337,n3p13,募集起始日期
n3p13,2050337,产品
2050337,n3p13,募集结束日期
n3p13,2050337,产品
2050337,n2p13,产品起始日期
n2p13,2050337,产品
2050337,n2p16,产品终止日期
n2p16,2050337,产品
2050337,n0p17,产品状态
n0p17,2050337,产品
2050337,n2p18,实际天数（天）
n2p18,2050337,产品
2050337,n0p19,收益类型
n0p19,2050337,产品
2050337,n0p20,产品销售区域
n0p20,2050337,产品
2050337,n0p21,机构类别
n0p21,2050337,产品
2050337,n0p22,认购价格
n0p22,2050337,产品
2075322,n5p0,登记编码
n5p0,2075322,产品
2075322,n0p3,期限类型
n0p3,2075322,产品
2075322,n0p4,业绩比较基准
n0p4,2075322,产品
2075322,n3p5,发行机构
n3p5,2075322,产品
2075322,n3p6,发行机构代码
n3p6,2075322,产品
2075322,n0p7,募集方式
n0p7,2075322,产品
2075322,n0p8,运作模式
n0p8,2075322,产品
2075322,n0p9,投资性质
n0p9,2075322,产品
2075322,n0p10,募集币种
n0p10,2075322,产品
2075322,n0p11,风险等级编号
n0p11,2075322,产品
2075322,n0p12,风险等级
n0p12,2075322,产品
2075322,n5p13,募集起始日期
n5p13,2075322,产品
2075322,n5p13,募集结束日期
n5p13,2075322,产品
2075322,n3p13,产品起始日期
n3p13,2075322,产品
2075322,n5p16,产品终止日期
n5p16,2075322,产品
2075322,n0p17,产品状态
n0p17,2075322,产品
2075322,n2p18,实际天数（天）
n2p18,2075322,产品
2075322,n0p19,收益类型
n0p19,2075322,产品
2075322,n0p20,产品销售区域
n0p20,2075322,产品
2075322,n0p21,机构类别
n0p21,2075322,产品
2075322,n0p22,认购价格
n0p22,2075322,产品
2050336,n6p0,登记编码
n6p0,2050336,产品
2050336,n0p3,期限类型
n0p3,2050336,产品
2050336,n0p4,业绩比较基准
n0p4,2050336,产品
2050336,n0p5,发行机构
n0p5,2050336,产品
